Player,"Ei, o que tá acontecendo?",#69525C ,Lele_mov_frente,LeonaNoites bloqueada,Lele
Player,*Este usuário foi banido temporariamente*,FF044F,,LeonaNoites bloqueada,Sistema
Player,Como assim banido?,#69525C ,Lele_mov_frente,LeonaNoites bloqueada,Lele
Player,"Você denunciou a maioria dos meus aliados, vítimas da sociedade e não sabe o que aconteceu com a sua amiguinha?Ha ha,ela foi BANIDA",4A6A00,Hater_idle-Sheet_0,Lele_mov_frente,Hater Boss
Player,Você expôs fotos ilegalmente dela e agora você bane ela de Turiter? Qual seu problema,#69525C ,Lele_mov_frente,Hater_idle-Sheet_0,Lele
NPC,Ela mentiu para a maioria de nós e nos enganou. Agora ela está banida pelos crimes hediondos dela,4A6A00,Lele_mov_frente,Hater_idle-Sheet_0,Hater Boss
Player,Não se resolve crime com mais crime… Fomentar hate e expor o passado dela não te faz melhor na fita…,#69525C ,Lele_mov_frente,Hater_idle-Sheet_0,Lele
Player,E ela se redimiu das ações que fez no passado,#69525C ,Lele_mov_frente,Hater_idle-Sheet_0,Lele
NPC,"Eu não estou agindo que nem aquela vad##, ela é muito pior. Estou apenas dando uma lição justa, usando a verdade para combater as m3rd#s que ela fez",4A6A00,Lele_mov_frente,Hater_idle-Sheet_0,Hater Boss
Player,"Você não deveria ter usado outras pessoas para atacar ela. Acredite, esse não é o melhor jeito de fazer alguém se redimir",#69525C ,Lele_mov_frente,Hater_idle-Sheet_0,Lele
NPC,"E você acha que eu ligo para isso??? HAHAHA estou pouco me #&$% para ela, eu preferiria que ela pegasse aquela coroa horrorosa dela e enfiasse no ##  ",4A6A00,Lele_mov_frente,Hater_idle-Sheet_0,Hater Boss
Player,"Você só está atacando gratuitamente ela sem nem razão, não acha isso meio patético ?",#69525C ,Lele_mov_frente,Hater_idle-Sheet_0,Lele
NPC,PATÉTICO?!!? VOCÊ E ESSA SKIN HORROROSA É PATÉTICO,4A6A00,Lele_mov_frente,Hater_idle-Sheet_0,Hater Boss
Player,...,#69525C ,Lele_mov_frente,Hater_idle-Sheet_0,Lele
NPC,"Pessoas como você acham que são melhores que nós,só porque não soltam a opinião na internet. Mas quer saber? Ninguém liga, todos irão continuar a escrever o que realmente querem!!!",4A6A00,Lele_mov_frente,Hater_idle-Sheet_0,Hater Boss
Player,"Existe uma diferença em ser honesto e ser ofensivo, e sim muitos acham que  podem escrever o que querem, mas existem limites e leis para isso!!!",#69525C ,Lele_mov_frente,Hater_idle-Sheet_0,Lele
NPC,"Desde a atualização de Turiter, não precisamos mais  limitar a nossa opinião. Agora chamamos esse reino de Equis, a evolução da liberdade",4A6A00,Lele_mov_frente,Hater_idle-Sheet_0,Hater Boss
Player,"mas ainda assim vivemos em uma democracia, com leis e regras de convivência. Você não sairá impune!!",#69525C ,Lele_mov_frente,Hater_idle-Sheet_0,Lele
NPC,"Já esgotei minha paciência com você, vou lhe dar uma lição",4A6A00,Lele_mov_frente,Hater_idle-Sheet_0,Hater Boss
